address,Province,City,District,Street,Longitude,Latitude
陕西省西安市临潼区西关正街|233,陕西省,西安市,临潼区,西关正街,109.205659,34.370352
陕西省西安市莲湖区西北三路|15号,陕西省,西安市,莲湖区,西北三路,108.932914,34.272898
陕西省西安市莲湖区龙首村西南区|1号楼,陕西省,西安市,莲湖区,[],108.948959,34.290263
陕西省西安市莲湖区自强西路|75号,陕西省,西安市,莲湖区,自强西路,108.936796,34.280199
陕西省西安市莲湖区自强西路|77号,陕西省,西安市,莲湖区,自强西路,108.936796,34.280199
陕西省西安市莲湖区龙首村,陕西省,西安市,莲湖区,[],108.948068,34.292587
陕西省西安市莲湖区自强西路,陕西省,西安市,莲湖区,自强西路,108.936796,34.280199
陕西省西安市莲湖区劳动南路|1号,陕西省,西安市,莲湖区,劳动南路,108.910005,34.250726
陕西省西安市莲湖区西桃园,陕西省,西安市,莲湖区,[],108.893654,34.243366
陕西省西安市临潼区西关正街,陕西省,西安市,临潼区,西关正街,109.205659,34.370352
陕西省西安市临潼区环城北路,陕西省,西安市,临潼区,环城北路,109.214814,34.371269
陕西省西安市莲湖区西大街,陕西省,西安市,碑林区,莲湖区西大街,108.942887,34.258744
陕西省西安市莲湖区建华路|14号,陕西省,西安市,莲湖区,[],108.944161,34.265350
陕西省西安市莲湖区龙渠湾|8,陕西省,西安市,莲湖区,龙渠湾,108.926370,34.258240
陕西省西安市莲湖区环城西路北段,陕西省,西安市,莲湖区,环城西路北段,108.922350,34.266215
陕西省西安市新城区建华路|117号,陕西省,西安市,新城区,建华路,108.977181,34.285293
陕西省西安市莲湖区丰庆路|21号,陕西省,西安市,莲湖区,丰庆路,108.909925,34.250830
陕西省西安市莲湖区劳动北路|70号,陕西省,西安市,莲湖区,劳动北路,108.912531,34.273468
陕西省西安市莲湖区红庙坡,陕西省,西安市,莲湖区,[],108.920939,34.285290
陕西省西安市雁塔区昆明路中段,陕西省,西安市,雁塔区,昆明路,108.860320,34.252396
陕西省西安市莲湖区劳动公园,陕西省,西安市,莲湖区,[],108.904161,34.264949
陕西省西安市碑林区文治路|15号,陕西省,西安市,碑林区,文治路,108.983747,34.245506
陕西省西安市未央区大兴路,陕西省,西安市,未央区,[],108.946665,34.293109
陕西省西安市莲湖区团结东路,陕西省,西安市,莲湖区,团结东路,108.904605,34.263210
陕西省西安市莲湖区团结东路|22,陕西省,西安市,莲湖区,团结东路,108.904605,34.263210
陕西省西安市未央区曹家堡村,陕西省,西安市,未央区,[],108.877231,34.339857
陕西省西安市莲湖区马家庄|27号,陕西省,西安市,莲湖区,[],108.944161,34.265350
陕西省西安市莲湖区振华路,陕西省,西安市,莲湖区,振华路,108.945128,34.284208
陕西省西安市周至县北大街|99号,陕西省,西安市,周至县,北大街,108.218013,34.164198
广东省广州市从化区振华路,广东省,广州市,从化区,振华路,113.536381,23.596459
陕西省西安市莲湖区北院门|158,陕西省,西安市,莲湖区,[],108.935058,34.261633
陕西省西安市莲湖区糜家桥|15号,陕西省,西安市,莲湖区,糜家桥,108.912466,34.248049
陕西省西安市莲湖区汉城北路,陕西省,西安市,莲湖区,汉城北路,108.871853,34.275238
陕西省西安市莲湖区劳动南路|68号,陕西省,西安市,莲湖区,劳动南路,108.910005,34.250726
陕西省西安市莲湖区社会路,陕西省,西安市,莲湖区,社会路,108.945781,34.263342
陕西省西安市莲湖区大庆路,陕西省,西安市,莲湖区,大庆路,108.888521,34.269015
陕西省西安市莲湖区大兴东路|37号,陕西省,西安市,莲湖区,大兴东路,108.910032,34.286245
陕西省西安市莲湖区西大街,陕西省,西安市,碑林区,莲湖区西大街,108.942887,34.258744
陕西省西安市莲湖区劳动南路|21号,陕西省,西安市,莲湖区,劳动南路,108.910005,34.250726
陕西省西安市未央区沣惠路,陕西省,西安市,未央区,沣惠路,108.838848,34.266068
陕西省西安市莲湖区郝家巷|9号,陕西省,西安市,莲湖区,郝家巷,108.943332,34.280238
陕西省西安市未央区草滩路,陕西省,西安市,未央区,草滩街,108.991336,34.380000
陕西省西安市莲湖区劳动路,陕西省,西安市,莲湖区,劳动路,108.909751,34.262811
江苏省徐州市沛县汉城北路,江苏省,徐州市,沛县,汉城北路,116.933290,34.772411
陕西省西安市莲湖区青年路|121,陕西省,西安市,莲湖区,青年路,108.939675,34.271159
陕西省西安市莲湖区丰登路,陕西省,西安市,莲湖区,丰登路,108.894696,34.264097
河南省郑州市惠济区汽配市场,河南省,郑州市,惠济区,[],113.617055,34.867994
陕西省西安市碑林区劳动南路21号,陕西省,西安市,莲湖区,劳动南路,108.909450,34.267456
陕西省西安市莲湖区劳动南路|21号,陕西省,西安市,莲湖区,劳动南路,108.910005,34.250726
陕西省西安市莲湖区星火路|39,陕西省,西安市,莲湖区,星火路,108.922149,34.285109
陕西省西安市临潼区西关正街|233,陕西省,西安市,临潼区,西关正街,109.205659,34.370352
陕西省西安市莲湖区大兴西路|40号,陕西省,西安市,莲湖区,大兴西路,108.871673,34.286602
陕西省西安市莲湖区劳动南路|21号,陕西省,西安市,莲湖区,劳动南路,108.910005,34.250726
陕西省西安市雁塔区西电技校,陕西省,西安市,雁塔区,[],108.948592,34.222517
陕西省西安市莲湖区莲湖路|99,陕西省,西安市,莲湖区,莲湖路,108.932892,34.269766
陕西省西安市莲湖区大庆路,陕西省,西安市,莲湖区,大庆路,108.888521,34.269015
河南省郑州市,河南省,郑州市,[],[],113.625351,34.746303
陕西省西安市长安区西大街|378号,陕西省,西安市,长安区,[],108.906944,34.158668
